DATE,BTC_USD,USD_NOK,BTC_NOK,SOURCE
2010-07-17,0.04951,6.1946,0.314362,MtGox
2010-07-18,0.08584,6.1946,0.545038,MtGox
2010-07-19,0.0808,6.2839,0.520433,MtGox
2010-07-20,0.07474,6.329,0.484855,MtGox
2010-07-21,0.07921,6.2522,0.507618,MtGox
2010-07-22,0.0505,6.2062,0.321248,MtGox
2010-07-23,0.06262,6.1766,0.396448,MtGox
2010-07-24,0.05454,6.1766,0.345294,MtGox
2010-07-25,0.0505,6.1766,0.319716,MtGox
2010-07-26,0.056,6.1882,0.355203,MtGox
2010-07-27,0.06,6.1379,0.377481,MtGox
2010-07-28,0.0589,6.143,0.370868,MtGox
2010-07-29,0.0699,6.0988,0.436964,MtGox
2010-07-30,0.0627,6.0949,0.391704,MtGox
2010-07-31,0.06785,6.0949,0.423877,MtGox
2010-08-01,0.0611,6.0949,0.381708,MtGox
2010-08-02,0.06,6.012,0.369738,MtGox
2010-08-03,0.06,5.9613,0.36662,MtGox
2010-08-04,0.057,5.9723,0.348932,MtGox
2010-08-05,0.061,5.9743,0.373543,MtGox
2010-08-06,0.0623,5.9787,0.381785,MtGox
2010-08-07,0.059,5.9787,0.361562,MtGox
2010-08-08,0.0609,5.9787,0.373205,MtGox
2010-08-09,0.071,5.959,0.433666,MtGox
2010-08-10,0.07,6.0139,0.431497,MtGox
2010-08-11,0.067,6.1205,0.420325,MtGox
2010-08-12,0.07,6.2271,0.446794,MtGox
2010-08-13,0.0645,6.1927,0.409415,MtGox
2010-08-14,0.067,6.1927,0.425284,MtGox
2010-08-15,0.06529,6.1927,0.414429,MtGox
2010-08-16,0.0655,6.2044,0.416548,MtGox
2010-08-17,0.07,6.1481,0.441126,MtGox
2010-08-18,0.068,6.1568,0.429129,MtGox
2010-08-19,0.0667,6.1503,0.420481,MtGox
2010-08-20,0.0655,6.2654,0.420643,MtGox
2010-08-21,0.0664,6.2654,0.426423,MtGox
2010-08-22,0.066,6.2654,0.423854,MtGox
2010-08-23,0.06491,6.2209,0.413894,MtGox
2010-08-24,0.065,6.2969,0.419531,MtGox
2010-08-25,0.0648,6.3557,0.422146,MtGox
2010-08-26,0.064,6.3058,0.41366,MtGox
2010-08-27,0.065,6.2759,0.418132,MtGox
2010-08-28,0.0641,6.2759,0.412342,MtGox
2010-08-29,0.064,6.2759,0.411699,MtGox
2010-08-30,0.06497,6.2717,0.417659,MtGox
2010-08-31,0.06,6.3285,0.389203,MtGox
2010-09-01,0.0629,6.2051,0.400058,MtGox
2010-09-02,0.0634,6.164,0.400568,MtGox
2010-09-03,0.06085,6.147,0.383396,MtGox
2010-09-04,0.06238,6.147,0.393036,MtGox
2010-09-05,0.0616,6.147,0.388122,MtGox
2010-09-06,0.0616,6.1209,0.386474,MtGox
2010-09-07,0.061,6.1919,0.387149,MtGox
2010-09-08,0.062,6.207,0.394455,MtGox
2010-09-09,0.06111,6.1915,0.387822,MtGox
2010-09-10,0.0618,6.1894,0.392068,MtGox
2010-09-11,0.06366,6.1894,0.403868,MtGox
2010-09-12,0.0615,6.1894,0.390164,MtGox
2010-09-13,0.06219,6.1339,0.391004,MtGox
2010-09-14,0.06199,6.1307,0.389543,MtGox
2010-09-15,0.0604,6.0798,0.3764,MtGox
2010-09-16,0.0619,6.0831,0.385957,MtGox
2010-09-17,0.059,6.0988,0.368825,MtGox
