Date,BTC_USD,USD_NOK,BTC_NOK,BTC_NOK_with_fee
2010-07-17,0.04951,6.1946,0.306695,0.314362
2010-07-18,0.08584,6.1946,0.531744,0.545038
2010-07-19,0.0808,6.2839,0.507739,0.520432
2010-07-20,0.07474,6.329,0.473029,0.484855
2010-07-21,0.07921,6.2522,0.495237,0.507618
2010-07-22,0.0505,6.2062,0.313413,0.321248
2010-07-23,0.06262,6.1766,0.386779,0.396448
2010-07-24,0.05454,6.1766,0.336872,0.345294
2010-07-25,0.0505,6.1766,0.311918,0.319716
2010-07-26,0.056,6.1882,0.346539,0.355202
2010-07-27,0.06,6.1379,0.368274,0.377481
2010-07-28,0.0589,6.143,0.361823,0.370869
2010-07-29,0.0699,6.0988,0.426306,0.436964
2010-07-30,0.0627,6.0949,0.38215,0.391704
2010-07-31,0.06785,6.0949,0.413539,0.423877
2010-08-01,0.0611,6.0949,0.372398,0.381708
2010-08-02,0.06,6.012,0.36072,0.369738
2010-08-03,0.06,5.9613,0.357678,0.36662
2010-08-04,0.057,5.9723,0.340421,0.348932
2010-08-05,0.061,5.9743,0.364432,0.373543
2010-08-06,0.0623,5.9787,0.372473,0.381785
2010-08-07,0.059,5.9787,0.352743,0.361562
2010-08-08,0.0609,5.9787,0.364103,0.373206
2010-08-09,0.071,5.959,0.423089,0.433666
2010-08-10,0.07,6.0139,0.420973,0.431497
2010-08-11,0.067,6.1205,0.410074,0.420326
2010-08-12,0.07,6.2271,0.435897,0.446794
2010-08-13,0.0645,6.1927,0.399429,0.409415
2010-08-14,0.067,6.1927,0.414911,0.425284
2010-08-15,0.06529,6.1927,0.404321,0.414429
2010-08-16,0.0655,6.2044,0.406388,0.416548
2010-08-17,0.07,6.1481,0.430367,0.441126
2010-08-18,0.068,6.1568,0.418662,0.429129
2010-08-19,0.0667,6.1503,0.410225,0.420481
2010-08-20,0.0655,6.2654,0.410384,0.420644
2010-08-21,0.0664,6.2654,0.416023,0.426424
2010-08-22,0.066,6.2654,0.413516,0.423854
2010-08-23,0.06491,6.2209,0.403799,0.413894
2010-08-24,0.065,6.2969,0.409298,0.41953
2010-08-25,0.0648,6.3557,0.411849,0.422145
2010-08-26,0.064,6.3058,0.403571,0.41366
2010-08-27,0.065,6.2759,0.407934,0.418132
2010-08-28,0.0641,6.2759,0.402285,0.412342
2010-08-29,0.064,6.2759,0.401658,0.411699
2010-08-30,0.06497,6.2717,0.407472,0.417659
2010-08-31,0.06,6.3285,0.37971,0.389203
2010-09-01,0.0629,6.2051,0.390301,0.400059
2010-09-02,0.0634,6.164,0.390798,0.400568
2010-09-03,0.06085,6.147,0.374045,0.383396
2010-09-04,0.06238,6.147,0.38345,0.393036
2010-09-05,0.0616,6.147,0.378655,0.388121
2010-09-06,0.0616,6.1209,0.377047,0.386473
2010-09-07,0.061,6.1919,0.377706,0.387149
2010-09-08,0.062,6.207,0.384834,0.394455
2010-09-09,0.06111,6.1915,0.378363,0.387822
